Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Settlement Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,event_type
TID00148,OID00148,CID6283,US525451313,BABA,Buy,541,242.87,131392.67,EUR,03/07/2024,03/05/2024,JPMorgan,Trader A,Completed,No,6569.63,Initial,Pending,
TID00149,OID00149,CID9297,US221996257,NVDA,Sell,528,152.29,80409.12,USD,02/04/2024,02/02/2024,Morgan Stanley,Trader D,Failed,Yes,4020.46,Initial,Satisfied,
TID00150,OID00150,CID6377,US200366430,NFLX,Sell,35,1493.36,52267.6,EUR,4/14/2024,04/12/2024,Morgan Stanley,Trader C,Completed,No,2613.38,Initial,Satisfied,
TID00151,OID00151,CID9819,US463476242,AAPL,Sell,263,1105.75,290812.25,GBP,3/24/2024,3/22/2024,Morgan Stanley,Trader B,Completed,Yes,14540.61,Variation,Pending,
TID00152,OID00152,CID5143,US816001450,AAPL,Sell,154,1457.65,224478.1,EUR,3/23/2024,3/21/2024,Goldman Sachs,Trader C,Pending,Yes,11223.91,Initial,Failed,
TID00153,OID00153,CID1449,US922971003,TSLA,Sell,467,702.98,328291.66,EUR,4/29/2024,4/27/2024,Morgan Stanley,Trader C,Pending,No,16414.58,Initial,Failed,
TID00154,OID00154,CID4757,US258309381,ADBE,Buy,666,976.46,650322.36,GBP,02/01/2024,1/30/2024,Citibank,Trader D,Pending,Yes,32516.12,Variation,Pending,
TID00155,OID00155,CID7593,US872772438,GOOGL,Buy,286,781.31,223454.66,USD,2/14/2024,02/12/2024,Morgan Stanley,Trader C,Pending,No,11172.73,Initial,Failed,
TID00156,OID00156,CID9458,US380365808,BABA,Sell,416,1030.95,428875.2,GBP,04/06/2024,04/04/2024,Morgan Stanley,Trader A,Completed,No,21443.76,Initial,Satisfied,
TID00157,OID00157,CID5110,US331515580,AMZN,Buy,69,934.01,64446.69,EUR,04/01/2024,3/30/2024,Morgan Stanley,Trader C,Pending,No,3222.33,Variation,Failed,
TID00158,OID00158,CID1461,US815607195,NFLX,Sell,560,626.13,350632.8,EUR,2/26/2024,2/24/2024,JPMorgan,Trader D,Completed,No,17531.64,Initial,Failed,
TID00159,OID00159,CID9511,US840181830,TSLA,Buy,423,1426.82,603544.86,USD,4/19/2024,4/17/2024,Morgan Stanley,Trader D,Failed,No,30177.24,Initial,Failed,
TID00160,OID00160,CID9392,US239128843,TSLA,Buy,162,373.99,60586.38,GBP,2/22/2024,2/20/2024,Goldman Sachs,Trader D,Completed,No,3029.32,Initial,Failed,
TID00161,OID00161,CID9837,US429169637,TSLA,Buy,64,431.89,27640.96,EUR,2/27/2024,2/25/2024,Morgan Stanley,Trader C,Failed,Yes,1382.05,Variation,Failed,
TID00162,OID00162,CID1101,US832593540,NVDA,Buy,465,1256.5,584272.5,EUR,1/23/2024,1/21/2024,Citibank,Trader A,Pending,No,29213.62,Variation,Satisfied,
TID00163,OID00163,CID3467,US221496442,NVDA,Sell,718,343.72,246790.96,EUR,02/06/2024,02/04/2024,Morgan Stanley,Trader B,Pending,Yes,12339.55,Variation,Pending,
TID00164,OID00164,CID6699,US473404630,NFLX,Buy,544,285.23,155165.12,USD,4/19/2024,4/17/2024,Morgan Stanley,Trader C,Pending,Yes,7758.26,Initial,Satisfied,
TID00165,OID00165,CID6653,US152934355,ADBE,Sell,515,402.88,207483.2,USD,02/03/2024,02/01/2024,JPMorgan,Trader A,Completed,No,10374.16,Variation,Failed,
TID00166,OID00166,CID5106,US692574842,ADBE,Sell,793,812.84,644582.12,GBP,1/18/2024,1/16/2024,Morgan Stanley,Trader C,Pending,Yes,32229.11,Variation,Satisfied,
TID00167,OID00167,CID2450,US751609554,BABA,Buy,105,1359.63,142761.15,EUR,04/10/2024,04/08/2024,Goldman Sachs,Trader D,Completed,No,7138.06,Variation,Satisfied,
TID00168,OID00168,CID9385,US421725107,AMZN,Buy,863,461.06,397894.78,GBP,4/17/2024,4/15/2024,Goldman Sachs,Trader B,Pending,No,19894.74,Initial,Failed,
TID00169,OID00169,CID3536,US474152465,ADBE,Sell,898,1337.97,1201497.06,GBP,02/06/2024,02/04/2024,Morgan Stanley,Trader C,Pending,Yes,60074.85,Initial,Failed,
TID00170,OID00170,CID6682,US117728129,ADBE,Buy,844,1317.02,1111564.88,EUR,03/12/2024,03/10/2024,Goldman Sachs,Trader D,Failed,Yes,55578.24,Variation,Failed,
TID00171,OID00171,CID6572,US351154801,AMZN,Buy,655,1288.51,843974.05,USD,1/30/2024,1/28/2024,Goldman Sachs,Trader C,Completed,Yes,42198.7,Initial,Satisfied,
TID00172,OID00172,CID1816,US782184971,NVDA,Buy,149,712.97,106232.53,EUR,04/10/2024,04/08/2024,Morgan Stanley,Trader B,Pending,Yes,5311.63,Variation,Failed,
TID00173,OID00173,CID6675,US326988196,META,Sell,562,1246.69,700639.78,EUR,1/24/2024,1/22/2024,Morgan Stanley,Trader D,Pending,Yes,35031.99,Initial,Pending,
TID00174,OID00174,CID4613,US495114423,META,Sell,489,1396.85,683059.65,EUR,1/13/2024,01/11/2024,Morgan Stanley,Trader D,Pending,No,34152.98,Variation,Pending,
TID00175,OID00175,CID8158,US640029417,NFLX,Sell,540,1401.46,756788.4,USD,1/19/2024,1/17/2024,Citibank,Trader C,Completed,No,37839.42,Variation,Pending,
TID00176,OID00176,CID3741,US168111475,AAPL,Buy,456,695.14,316983.84,USD,3/22/2024,3/20/2024,Morgan Stanley,Trader B,Completed,No,15849.19,Initial,Failed,
TID00177,OID00177,CID5213,US327952717,AAPL,Buy,774,866.06,670330.44,USD,04/09/2024,04/07/2024,Morgan Stanley,Trader A,Completed,Yes,33516.52,Initial,Failed,
TID00178,OID00178,CID1347,US610716003,ADBE,Buy,967,303.53,293513.51,EUR,1/17/2024,1/15/2024,JPMorgan,Trader D,Failed,No,14675.68,Variation,Failed,
TID00179,OID00179,CID9530,US588589324,GOOGL,Sell,285,113.39,32316.15,GBP,1/26/2024,1/24/2024,Citibank,Trader D,Failed,No,1615.81,Initial,Pending,
TID00180,OID00180,CID5952,US501620010,TSLA,Sell,941,1274.75,1199539.75,USD,05/01/2024,4/29/2024,Citibank,Trader A,Pending,Yes,59976.99,Initial,Satisfied,
TID00181,OID00181,CID1409,US694526427,META,Sell,358,1170.74,419124.92,USD,2/17/2024,2/15/2024,Citibank,Trader A,Failed,Yes,20956.25,Variation,Failed,
TID00182,OID00182,CID2310,US175968059,ADBE,Buy,652,994.69,648537.88,USD,03/09/2024,03/07/2024,Morgan Stanley,Trader C,Pending,No,32426.89,Initial,Failed,
TID00183,OID00183,CID6407,US770637515,BABA,Buy,827,336.82,278550.14,USD,04/03/2024,04/01/2024,JPMorgan,Trader A,Failed,No,13927.51,Initial,Pending,
TID00184,OID00184,CID4902,US938699428,NFLX,Buy,566,632.2,357825.2,USD,4/14/2024,04/12/2024,Morgan Stanley,Trader D,Pending,No,17891.26,Variation,Failed,
TID00185,OID00185,CID7854,US583013701,META,Sell,658,764.2,502843.6,GBP,4/16/2024,4/14/2024,Citibank,Trader C,Failed,Yes,25142.18,Initial,Satisfied,
TID00186,OID00186,CID6433,US464517856,GOOGL,Sell,90,577.69,51992.1,GBP,3/23/2024,3/21/2024,Morgan Stanley,Trader B,Pending,No,2599.61,Variation,Pending,
TID00187,OID00187,CID5894,US383384026,GOOGL,Buy,911,1460.78,1330770.58,USD,04/11/2024,04/09/2024,Citibank,Trader A,Pending,No,66538.53,Initial,Pending,
TID00188,OID00188,CID9332,US383601522,AMZN,Buy,823,750.2,617414.6,GBP,04/01/2024,3/30/2024,Citibank,Trader D,Pending,No,30870.73,Initial,Failed,
TID00189,OID00189,CID5744,US766912338,TSLA,Sell,335,1005.52,336849.2,GBP,02/04/2024,02/02/2024,Citibank,Trader C,Completed,Yes,16842.46,Initial,Pending,
TID00190,OID00190,CID9155,US718612067,NVDA,Buy,393,679.49,267039.57,EUR,2/24/2024,2/22/2024,Morgan Stanley,Trader C,Completed,No,13351.98,Initial,Failed,
TID00191,OID00191,CID2487,US235374676,NFLX,Buy,342,121.81,41659.02,GBP,3/24/2024,3/22/2024,Citibank,Trader B,Failed,No,2082.95,Variation,Failed,
TID00192,OID00192,CID7150,US710788171,META,Sell,635,492.5,312737.5,GBP,2/27/2024,2/25/2024,JPMorgan,Trader C,Pending,No,15636.88,Initial,Satisfied,
TID00193,OID00193,CID6795,US575677747,MSFT,Buy,311,1049.24,326313.64,USD,3/14/2024,03/12/2024,Citibank,Trader D,Pending,Yes,16315.68,Initial,Pending,
TID00194,OID00194,CID4016,US929086540,META,Buy,136,1140.11,155054.96,GBP,01/11/2024,01/09/2024,Citibank,Trader A,Pending,Yes,7752.75,Initial,Pending,
TID00195,OID00195,CID1218,US991344502,TSLA,Sell,490,1445.2,708148,EUR,1/21/2024,1/19/2024,Citibank,Trader D,Completed,Yes,35407.4,Variation,Satisfied,
TID00196,OID00196,CID6949,US912788835,AAPL,Buy,221,253.05,55924.05,USD,4/30/2024,4/28/2024,Citibank,Trader B,Failed,No,2796.2,Variation,Failed,
TID00197,OID00197,CID7583,US109512467,NVDA,Buy,441,570.1,251414.1,GBP,4/27/2024,4/25/2024,JPMorgan,Trader A,Completed,Yes,12570.71,Variation,Satisfied,
TID00198,OID00198,CID4194,US538611928,AAPL,Buy,287,359.38,103142.06,EUR,4/27/2024,4/25/2024,Goldman Sachs,Trader C,Completed,Yes,5157.1,Initial,Failed,
TID00199,OID00199,CID7821,US288964237,ADBE,Sell,971,1109.04,1076877.84,GBP,03/07/2024,03/05/2024,Citibank,Trader C,Failed,Yes,53843.89,Variation,Failed,
TID00200,OID00200,CID9785,US465065481,NFLX,Sell,789,1245.84,982967.76,USD,04/08/2024,04/06/2024,Citibank,Trader C,Failed,No,49148.39,Variation,Satisfied,
